site,lon,lat,elevation,x,y
LDC,122.44516,-75.29917,nan,1355098.99198852,-861470.9557713617
EDC,123.34820,-75.10162,3233,1359574.0249147692,-894711.3643150186
DF,39.7,-77.32,3810,883502.9902673647,1064184.4954527828
EDML,0.0684,-75.0025,2891.7,1956.057831166585,1638505.920583149
TALDICE,159.11,-72.49,nan,683501.5818337336,-1790851.5242259281
SPICE,-99.16,-89.99,2835,-1072.6686773044692,-172.9659937389014
WDC,-112.05,-79.28,nan,-1082593.103034293,-438495.3509442103
VOSTOK,106.48,-78.28,nan,1225197.0535323007,-362454.74967192457
SIPLE,-148.82,-81.65,621,-470507.48755625216,-777512.5813754096
Law_Dome,3.,-63.,nan,156324.5660535467,2982850.4125175215
